gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
HNRNPR | AMEX60DD005755,0.43329388,0.3824991,0.05079478,,,VLMC
LOC116219103[nr]|TOMM6[hs] | AMEX60DD009163,0.6650861,0.61435723,0.050728858,,,VLMC
SLITRK1 | AMEX60DD048732,0.2484179,0.19778816,0.050629735,,,VLMC
INPP4B | AMEX60DD044936,1.0240785,0.9735248,0.05055368,,,VLMC
PRDX5 | AMEX60DD025332,0.6519809,0.6014338,0.050547063,,,VLMC
PRRC2B[nr] | AMEX60DD050399,0.64868337,0.5982976,0.050385773,,,VLMC
EDF1 | AMEX60DD050914,1.0726377,1.0223795,0.05025816,,,VLMC
NDUFS5 | AMEX60DD006141,0.6713045,0.6210681,0.050236404,,,VLMC
SRSF7 | AMEX60DD017800,0.48414287,0.4346206,0.04952228,,,VLMC
SYT4 | AMEX60DD041662,0.5705921,0.5211446,0.049447477,,,VLMC
NONO | AMEX60DD036806,1.2871897,1.2381151,0.04907465,,,VLMC
NXPH1 | AMEX60DD022514,0.20315307,0.1540874,0.04906568,,,VLMC
MAP1A | AMEX60DD003375,0.88969046,0.84067506,0.049015403,,,VLMC
AMEX60DDU001018525,0.47546285,0.42645597,0.04900688,,,VLMC
CADM4 | AMEX60DD018010,0.22238842,0.1733873,0.049001113,,,VLMC
RAB10 | AMEX60DD032628,0.5979375,0.5490412,0.048896313,,,VLMC
ISCU | AMEX60DD000735,0.37695947,0.32822096,0.04873851,,,VLMC
UBE2V2 | AMEX60DD039663,0.4395141,0.3908713,0.048642814,,,VLMC
SUGP2 | AMEX60DD013994,0.5150802,0.4667357,0.048344523,,,VLMC
CDK5R1 | AMEX60DD009772,0.37775132,0.32942012,0.0483312,,,VLMC
UBA1 | AMEX60DD025668,0.64618045,0.5980537,0.048126757,,,VLMC
FAM107A | AMEX60DD023851,0.5175411,0.46949363,0.048047483,,,VLMC
AMEX60DD027582,0.29497078,0.24692445,0.048046336,,,VLMC
ATP6V1F | AMEX60DD007959,0.33928162,0.2913257,0.04795593,,,VLMC
HSPA4 | AMEX60DD028834,0.8686259,0.8207832,0.04784268,,,VLMC
LOC100190416[nr]|PSMA1[hs] | AMEX60DD004739,0.2817415,0.23390901,0.04783249,,,VLMC
DYNLRB2 | AMEX60DD015245,0.33363834,0.28598422,0.047654122,,,VLMC
ZIC1 | AMEX60DD001970,0.37241784,0.32478845,0.047629386,,,VLMC
SUGP2 | AMEX60DD013968,0.6349374,0.58733124,0.04760617,,,VLMC
AMEX60DD018111,0.6152883,0.5677211,0.04756719,,,VLMC
LOC101350333[nr] | AMEX60DD028925,0.80769163,0.7603822,0.04730946,,,VLMC
SNCB | AMEX60DD027826,1.1582664,1.1109886,0.04727781,,,VLMC
VAT1 | AMEX60DD009815,0.6991576,0.65195084,0.04720676,,,VLMC
CNBP | AMEX60DD024023,0.41980156,0.3726308,0.04717076,,,VLMC
nan | AMEX60DD026859,2.7849698,2.7378027,0.047167063,,,VLMC
AMEX60DD000867,0.34704086,0.29994082,0.047100037,,,VLMC
SEC22B | AMEX60DD018460,0.29425216,0.24717662,0.04707554,,,VLMC
COX7A2.S[nr]|COX7A2[hs] | AMEX60DD033628,0.8845686,0.8375591,0.047009468,,,VLMC
RAB39B | AMEX60DD037150,0.3791639,0.33222997,0.04693392,,,VLMC
PTP4A1 | AMEX60DD033521,0.73389465,0.6870744,0.046820223,,,VLMC
CLTA | AMEX60DD043928,0.9192333,0.8724849,0.0467484,,,VLMC
