gene,total,composition,within_celltype,pct_composition
COX7B,0.0019832350367334187,-0.00014503377264655495,0.0021282688093799736,-7.312989633615978
COX7C,-0.023986732948418767,-0.0096952433747397,-0.014291489573679067,40.419190873506686
COX8A,0.01062220457096696,0.011841379382804013,-0.0012191748118370546,111.4776062133971
CPNE1,0.004732095110918863,0.0035594422817135595,0.001172652829205303,75.2191618782235
CPT1A,0.0010700221175657713,0.0044756190065561976,-0.0034055968889904263,418.27350417185124
CRIP1,0.0025426656468247105,0.003352725986292791,-0.0008100603394680802,131.85870468182424
CRTAP,-0.0025158022100048843,0.00219693462978493,-0.004712736839789814,-87.32541139554309
CSDE1,-0.010805340768048986,-0.003553129169956879,-0.007252211598092106,32.88308297007492
CSK,-0.0005861547610464183,-0.002474213591366259,0.0018880588303198408,422.10927144040085
CSNK1E,0.010796559592615105,0.007933426207638481,0.0028631333849766234,73.48105792020061
CSNK2A1,0.006252660713479413,0.0032887530459835444,0.0029639076674958685,52.597657168470526
CST3,-0.0007228845803077411,0.010858292418603354,-0.011581176998911095,-1502.0783005194055
CSTB,0.01751481091426085,0.02051642271557663,-0.0030016118013157784,117.13756326579475
CTBP1,0.0004126060570261719,2.499584730624154e-06,0.00041010647229554776,0.6058041776312565
CTDNEP1,-0.0016433596144853975,0.002369590500323399,-0.0040129501148087965,-144.19184209205568
CTDSP1,0.00198353349231488,0.0012605344125621322,0.0007229990797527474,63.54994344416274
CTDSP2,-0.0015051588681782193,0.0012205800135717056,-0.002725738881749925,-81.09310182313472
CTNNB1,0.009132459783920684,0.005001919320382976,0.0041305404635377085,54.77077850580566
CTSB,0.020586864185631867,0.01834878102031355,0.0022380831653183147,89.12858633963138
CTSC,0.012433428753875674,0.019083934924638293,-0.006650506170762621,153.48891526554624
CTSD,0.009257903261632963,0.010390833045382478,-0.001132929783749515,112.23743380906403
CTSH,-0.010901292169710121,-0.005228173256761616,-0.005673118912948504,47.959206811174205
CTSZ,0.006453617514285292,0.0036373985350875654,0.002816218979197727,56.362164739947254
CTTN,0.01951880814043873,0.018819066552766432,0.0006997415876722982,96.41503936798998
CUTA,-0.0009491026125036202,-0.00032518800349521726,-0.0006239146090084029,34.2626813171876
CXCL14,0.01989251227684074,0.009500899293053582,0.010391612983787156,47.761183508805566
CYB561A3,-8.960760437366918e-05,-0.0010793690312251086,0.0009897614268514394,1204.5507061254243
CYB5R3,0.011230101449162326,0.009619394613113145,0.0016107068360491817,85.65723699522476
CYCS,0.011673243965537332,0.012363365088476855,-0.000690121122939523,105.91199091680902
CYRIB,-0.0007326970539431826,8.181941889247053e-05,-0.0008145164728356532,-11.16688247238609
DAD1,-0.00068498998615898,0.000532602803192768,-0.001217592789351748,-77.75337069951789
DAZAP2,-0.012908426924274918,-0.007166444395041625,-0.005741982529233291,55.51756567304714
DBI,0.0006442871866792254,0.007023531671810026,-0.006379244485130801,1090.124375747809
DBNL,-8.771358131880787e-06,0.001189975342499499,-0.0011987467006313798,-13566.603080250015
DDB1,0.005470785509604384,0.005803606707292545,-0.00033282119768816127,106.08360896445068
DDT,0.003172008678575141,0.004269439832317473,-0.0010974311537423316,134.59735659472707
DDX17,0.006399219829676607,0.0036399628515324627,0.0027592569781441445,56.88135348393576
DDX3X,0.002949240724029203,0.004560136144922873,-0.0016108954208936704,154.62068280044946
DDX5,-0.00026021618054092766,-0.001185473258442555,0.0009252570779016273,455.5724613197525
DDX6,-0.009693122551478743,-0.004763928549737061,-0.004929194001741683,49.14751179959337
DEK,-0.00021420882201039358,0.00171333514156929,-0.0019275439635796836,-799.843407703422
DERL1,0.0017613181721131221,0.0032418849392022607,-0.0014805667670891385,184.06015395349297
DGKA,-0.0020019718021807432,-0.0009931145652909675,-0.0010088572368897757,49.60682084578664
DHCR7,0.017463599480310673,0.04388637017138643,-0.026422770691075754,251.30197369028127
DNAJA1,-0.0012609440327506268,0.0017630730044291137,-0.0030240170371797406,-139.82167000569734
DNAJB1,0.011661539596047136,0.011284248367726221,0.000377291228320915,96.76465337005071
DNPH1,-0.00140667708342061,-0.0004583081004573544,-0.0009483689829632557,32.580903311717336
DPYSL2,-0.0033856541466361135,-0.00011110385515709703,-0.0032745502914790165,3.281606754413665
DR1,0.0026549429635850568,0.002343117864932742,0.00031182509865231435,88.2549228767142
DRAP1,0.005870483477927946,0.00714444812632237,-0.0012739646483944248,121.70118786952254
DSC2,0.0324609656996114,0.029880391170798153,0.0025805745288132475,92.05022255747573
DSC3,0.03589174739823082,0.036276025111194335,-0.00038427771296351454,101.07065757679565
DSG3,0.0316880489202897,0.02624446644039542,0.005443582479894285,82.82133906827951
DSP,0.02620493526884274,0.029231562374759573,-0.003026627105916833,111.54983622308522
DSTN,0.014732967114296435,0.01564598612274633,-0.0009130190084498965,106.197115634392
DUT,-0.0003151176334419874,0.007033786800651973,-0.00734890443409396,-2232.1146309150868
DYNC1H1,0.003758855308487785,0.0025057250977469797,0.001253130210740805,66.66191944363645
DYNC1I2,0.007543235736579026,0.007228096410606518,0.0003151393259725071,95.82222620401059
DYNLL1,0.017242053740172507,0.017901680182156755,-0.0006596264419842476,103.82568371450655
ECH1,-0.001638386319974811,0.00037321576934359326,-0.002011602089318404,-22.779472996901685
EDF1,-0.0008238026841667825,-0.00015804630018208601,-0.0006657563839846965,19.18497028714328
EEF1A1,-0.19725021444839655,-0.14914481629382703,-0.048105398154569524,75.61199196203937
